Cell line Name,Model ID, COSMIC ID, TCGA Classfication, Tissue,Tissue sub-type, Datasets, number of drugs
"HOS","SIDM00806","907060","UNCLASSIFIED","bone","osteosarcoma","GDSC1","343"
"HSC-3","SIDM00589","907061","HNSC","aero_digestive_tract","head_and_neck","GDSC1","345"
"HSC-4","SIDM00588","907062","HNSC","aero_digestive_tract","head_and_neck","GDSC1","329"
"HT","SIDM00661","907063","DLBC","blood","B_cell_lymphoma","GDSC1","386"
"HT-1080","SIDM00828","907064","UNCLASSIFIED","soft_tissue","fibrosarcoma","GDSC1","342"
"HT-1197","SIDM00676","907065","BLCA","urogenital_system","bladder","GDSC1","353"
"HT-1376","SIDM00678","907066","BLCA","urogenital_system","bladder","GDSC1","345"
"HT-144","SIDM00695","907067","SKCM","skin","melanoma","GDSC1","383"
"HT-3","SIDM00679","907068","CESC","urogenital_system","cervix","GDSC1","342"
"HuCCT1","SIDM00587","907069","UNCLASSIFIED","digestive_system","biliary_tract","GDSC1","347"
"HuH-7","SIDM00585","907071","LIHC","digestive_system","liver","GDSC1","348"
"HuO9","SIDM00599","907072","UNCLASSIFIED","bone","osteosarcoma","GDSC1","352"
"HuTu-80","SIDM00694","907073","UNCLASSIFIED","digestive_system","digestive_system_other","GDSC1","390"
"IGR-1","SIDM01060","907169","SKCM","skin","melanoma","GDSC1","323"
"IMR-5","SIDM01206","907170","NB","nervous_system","neuroblastoma","GDSC1","383"
"IPC-298","SIDM01059","907171","SKCM","skin","melanoma","GDSC1","345"
"IST-MEL1","SIDM00225","907172","SKCM","skin","melanoma","GDSC1","394"
"IST-MES1","SIDM00224","907173","MESO","lung","mesothelioma","GDSC1","381"
"JAR","SIDM01039","907175","UNCLASSIFIED","urogenital_system","urogenital_system_other","GDSC1","387"
"JEG-3","SIDM01218","907176","UNCLASSIFIED","urogenital_system","urogenital_system_other","GDSC1","349"
"JiyoyeP-2003","SIDM00808","907268","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","388"
"JVM-2","SIDM01013","907269","CLL","blood","lymphoid_neoplasm_other","GDSC1","387"
"JVM-3","SIDM01012","907270","CLL","blood","lymphoid_neoplasm_other","GDSC1","386"
"KALS-1","SIDM00613","907271","LGG","nervous_system","glioma","GDSC1","384"
"KARPAS-45","SIDM01007","907272","ALL","blood","lymphoblastic_leukemia","GDSC1","385"
"KARPAS-299","SIDM01010","907273","UNCLASSIFIED","blood","anaplastic_large_cell_lymphoma","GDSC1","384"
"KARPAS-422","SIDM01008","907274","DLBC","blood","B_cell_lymphoma","GDSC1","383"
"KASUMI-1","SIDM01005","907275","LAML","blood","acute_myeloid_leukaemia","GDSC1","244"
"KATOIII","SIDM00687","907276","STAD","digestive_system","stomach","GDSC1","215"
"KE-37","SIDM01003","907277","ALL","blood","lymphoblastic_leukemia","GDSC1","385"
"KG-1","SIDM00785","907278","LAML","blood","acute_myeloid_leukaemia","GDSC1","367"
"KINGS-1","SIDM00612","907279","LGG","nervous_system","glioma","GDSC1","394"
"KMOE-2","SIDM01019","907280","LAML","blood","acute_myeloid_leukaemia","GDSC1","388"
"KMS-12-BM","SIDM01020","907281","MM","blood","myeloma","GDSC1","259"
"KNS-42","SIDM00607","907282","LGG","nervous_system","glioma","GDSC1","395"
"HuP-T3","SIDM00533","907285","PAAD","pancreas","pancreas","GDSC1","341"
"HuP-T4","SIDM00531","907286","PAAD","pancreas","pancreas","GDSC1","323"
"HT55","SIDM00541","907287","COREAD","digestive_system","large_intestine","GDSC1","326"
"HT-115","SIDM00534","907289","COREAD","digestive_system","large_intestine","GDSC1","347"
"H-EMC-SS","SIDM00535","907290","UNCLASSIFIED","bone","chondrosarcoma","GDSC1","376"
"GP5d","SIDM00537","907291","COREAD","digestive_system","large_intestine","GDSC1","346"
"DMS-53","SIDM00523","907295","SCLC","lung","lung_small_cell_carcinoma","GDSC1","352"
"G-402","SIDM00855","907298","UNCLASSIFIED","soft_tissue","soft_tissue_other","GDSC1","344"
"G-401","SIDM00856","907299","UNCLASSIFIED","kidney","kidney","GDSC1","351"
"KY821","SIDM00553","907300","LAML","blood","leukemia","GDSC1","384"
"KU812","SIDM00308","907311","LCML","blood","chronic_myeloid_leukaemia","GDSC1","388"
"KU-19-19","SIDM01033","907312","BLCA","urogenital_system","bladder","GDSC1","345"
"KS-1","SIDM00555","907313","GBM","nervous_system","glioma","GDSC1","388"
"KP-N-YN","SIDM00556","907314","NB","nervous_system","neuroblastoma","GDSC1","388"
"KYSE-150","SIDM01031","907317","ESCA","aero_digestive_tract","oesophagus","GDSC1","351"
"KYSE-180","SIDM01030","907318","ESCA","aero_digestive_tract","oesophagus","GDSC1","345"
"KYSE-270","SIDM01029","907319","ESCA","aero_digestive_tract","oesophagus","GDSC1","345"
"KYSE-450","SIDM01027","907320","ESCA","aero_digestive_tract","oesophagus","GDSC1","341"
"KYSE-510","SIDM01026","907321","ESCA","aero_digestive_tract","oesophagus","GDSC1","344"
"L-428","SIDM00327","907322","UNCLASSIFIED","blood","Hodgkin_lymphoma","GDSC1","394"
"L-540","SIDM00329","907323","UNCLASSIFIED","blood","Hodgkin_lymphoma","GDSC1","387"
"LAMA-84","SIDM00346","907783","LCML","blood","chronic_myeloid_leukaemia","GDSC1","387"
"LC-2-ad","SIDM00297","907786","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","386"
"LC4-1","SIDM00549","907787","ALL","blood","lymphoblastic_leukemia","GDSC1","388"
"LNCaP-Clone-FGC","SIDM00683","907788","PRAD","urogenital_system","prostate","GDSC1","391"
"LOUCY","SIDM00342","907789","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","384"
"LoVo","SIDM00839","907790","COREAD","digestive_system","large_intestine","GDSC1","343"
"LP-1","SIDM00340","907791","MM","blood","myeloma","GDSC1","394"
"LS-123","SIDM00776","907792","COREAD","digestive_system","large_intestine","GDSC1","395"
"LS-411N","SIDM00660","907794","COREAD","digestive_system","large_intestine","GDSC1","387"
"LS-513","SIDM00677","907795","COREAD","digestive_system","large_intestine","GDSC1","395"
"LU-99A","SIDM01219","907796","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","341"
"MC116","SIDM00637","907799","DLBC","blood","B_cell_lymphoma","GDSC1","376"
"MC-IXC","SIDM01246","908118","NB","nervous_system","neuroblastoma","GDSC1","342"
"MDA-MB-175-VII","SIDM00633","908120","BRCA","breast","breast","GDSC1","352"
"MDA-MB-361","SIDM00528","908121","BRCA","breast","breast","GDSC1","345"
"MDA-MB-453","SIDM00272","908122","BRCA","breast","breast","GDSC1","346"
"MDA-MB-468","SIDM00628","908123","BRCA","breast","breast","GDSC1","350"
"MEL-HO","SIDM00337","908124","SKCM","skin","melanoma","GDSC1","342"
"MEL-JUSO","SIDM00336","908125","SKCM","skin","melanoma","GDSC1","346"
"MEG-01","SIDM00526","908126","LCML","blood","chronic_myeloid_leukaemia","GDSC1","382"
"MES-SA","SIDM00625","908127","UNCLASSIFIED","urogenital_system","uterus","GDSC1","351"
"Mewo","SIDM00545","908128","SKCM","skin","melanoma","GDSC1","344"
"MFE-280","SIDM00335","908129","UCEC","urogenital_system","endometrium","GDSC1","341"
"MFE-296","SIDM00334","908130","UCEC","urogenital_system","endometrium","GDSC1","353"
"MG-63","SIDM00525","908131","UNCLASSIFIED","bone","osteosarcoma","GDSC1","313"
"MHH-CALL-2","SIDM00331","908132","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","169"
"MHH-ES-1","SIDM00386","908134","UNCLASSIFIED","bone","ewings_sarcoma","GDSC1","361"
"MHH-NB-11","SIDM00387","908135","NB","nervous_system","neuroblastoma","GDSC1","263"
"MHH-PREB-1","SIDM00388","908136","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","385"
"MKN1","SIDM00271","908138","UNCLASSIFIED","digestive_system","stomach","GDSC1","333"
"MKN28","SIDM00260","908139","STAD","digestive_system","stomach","GDSC1","313"
"ML-2","SIDM00441","908141","LAML","blood","acute_myeloid_leukaemia","GDSC1","386"
"MLMA","SIDM00561","908142","UNCLASSIFIED","blood","hairy_cell_leukaemia","GDSC1","392"
"MN-60","SIDM00438","908143","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","394"
"MOG-G-CCM","SIDM00532","908144","LGG","nervous_system","glioma","GDSC1","351"
"MOG-G-UVW","SIDM00504","908145","LGG","nervous_system","glioma","GDSC1","347"
"MOLT-13","SIDM00433","908146","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","314"
"MOLT-16","SIDM00431","908147","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","384"
"MONO-MAC-6","SIDM01023","908148","LAML","blood","acute_myeloid_leukaemia","GDSC1","388"
"Mo-T","SIDM00623","908149","UNCLASSIFIED","blood","hairy_cell_leukaemia","GDSC1","393"
"MPP-89","SIDM00222","908150","MESO","lung","mesothelioma","GDSC1","386"
"MRK-nu-1","SIDM00562","908151","BRCA","breast","breast","GDSC1","383"
"MSTO-211H","SIDM00640","908152","MESO","lung","mesothelioma","GDSC1","366"
"MV-4-11","SIDM00657","908156","UNCLASSIFIED","blood","leukemia","GDSC1","384"
"NALM-6","SIDM00429","908158","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","390"
"NAMALWA","SIDM00641","908159","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","343"
"NB69","SIDM00244","908440","NB","nervous_system","neuroblastoma","GDSC1","350"
"NCCIT","SIDM00655","908441","","urogenital_system","testis","GDSC1","219"
"NCI-H508","SIDM00777","908442","COREAD","digestive_system","large_intestine","GDSC1","176"
"NCI-H520","SIDM01130","908443","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","GDSC1","347"
"SNU-1","SIDM01146","908444","STAD","digestive_system","stomach","GDSC1","385"
"SNU-5","SIDM01144","908445","STAD","digestive_system","stomach","GDSC1","394"
"SNU-16","SIDM01145","908446","STAD","digestive_system","stomach","GDSC1","386"
"NH-12","SIDM00577","908447","NB","nervous_system","neuroblastoma","GDSC1","364"
"NKM-1","SIDM00576","908448","LAML","blood","acute_myeloid_leukaemia","GDSC1","385"
"NMC-G1","SIDM00575","908449","LGG","nervous_system","glioma","GDSC1","393"
"no-11","SIDM00573","908450","LGG","nervous_system","glioma","GDSC1","390"
"NOMO-1","SIDM00580","908451","LAML","blood","acute_myeloid_leukaemia","GDSC1","392"
"no-10","SIDM00574","908452","LGG","nervous_system","glioma","GDSC1","393"
"NTERA-2-cl-D1","SIDM01203","908454","UNCLASSIFIED","urogenital_system","testis","GDSC1","392"
"NUGC-3","SIDM00572","908455","STAD","digestive_system","stomach","GDSC1","344"
"NCI-H747","SIDM00778","908457","COREAD","digestive_system","large_intestine","GDSC1","394"
"NCI-H716","SIDM00779","908458","COREAD","digestive_system","large_intestine","GDSC1","392"
"NCI-H596","SIDM01127","908459","UNCLASSIFIED","lung","lung_NSCLC_adenocarcinoma","GDSC1","347"
"NCI-H441","SIDM00925","908460","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","351"
"NCI-N87","SIDM01147","908461","STAD","digestive_system","stomach","GDSC1","348"
"NCI-H2452","SIDM00722","908462","MESO","lung","mesothelioma","GDSC1","346"
"NCI-H1793","SIDM00755","908463","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","345"
"NCI-H358","SIDM00718","908465","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","339"
"NCI-H1155","SIDM00651","908467","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","394"
"NCI-H1105","SIDM00652","908468","SCLC","lung","lung_small_cell_carcinoma","GDSC1","206"
"NCI-H1436","SIDM00697","908469","SCLC","lung","lung_small_cell_carcinoma","GDSC1","394"
"NCI-H28","SIDM00720","908470","MESO","lung","mesothelioma","GDSC1","340"
"NCI-H1581","SIDM00748","908471","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","388"
"NCI-H1573","SIDM00749","908472","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","346"
"NCI-H1666","SIDM00743","908473","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","384"
"NCI-H1703","SIDM00740","908474","UNCLASSIFIED","lung","lung_NSCLC_adenocarcinoma","GDSC1","346"
"NCI-H1755","SIDM00738","908475","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","353"
"NCI-H1993","SIDM00758","908476","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","353"
"NCI-H2081","SIDM00710","908480","SCLC","lung","lung_small_cell_carcinoma","GDSC1","386"
"NCI-H2196","SIDM00731","908481","SCLC","lung","lung_small_cell_carcinoma","GDSC1","216"
"NCI-H524","SIDM01129","908483","SCLC","lung","lung_small_cell_carcinoma","GDSC1","391"
"NCI-H748","SIDM01117","909194","SCLC","lung","lung_small_cell_carcinoma","GDSC1","164"
"ONS-76","SIDM00567","909248","MB","nervous_system","medulloblastoma","GDSC1","391"
"OPM-2","SIDM00457","909249","MM","blood","myeloma","GDSC1","388"
"OS-RC-2","SIDM00239","909250","KIRC","kidney","kidney","GDSC1","394"
"P12-ICHIKAWA","SIDM00463","909251","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","342"
"P30-OHK","SIDM00364","909252","ALL","blood","lymphoblastic_leukemia","GDSC1","384"
"P31-FUJ","SIDM00363","909253","LAML","blood","acute_myeloid_leukaemia","GDSC1","385"
"PA-1","SIDM01140","909255","UNCLASSIFIED","urogenital_system","ovary","GDSC1","246"
"OCUB-M","SIDM00241","909256","BRCA","breast","breast","GDSC1","388"
"OC-314","SIDM00220","909257","OV","urogenital_system","ovary","GDSC1","352"
"PF-382","SIDM00451","909260","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","384"
"Raji","SIDM00844","909262","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","388"
"RCM-1","SIDM00359","909263","COREAD","digestive_system","large_intestine","GDSC1","352"
"RD","SIDM00847","909264","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","GDSC1","347"
"REH","SIDM00447","909696","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","388"
"RF-48","SIDM01092","909697","STAD","digestive_system","stomach","GDSC1","387"
"RKO","SIDM01090","909698","COREAD","digestive_system","large_intestine","GDSC1","391"
"RMG-I","SIDM00352","909699","UNCLASSIFIED","urogenital_system","ovary","GDSC1","339"
"RPMI-6666","SIDM00813","909701","UNCLASSIFIED","blood","Hodgkin_lymphoma","GDSC1","386"
"RPMI-8402","SIDM00403","909702","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","394"
"RS4-11","SIDM01086","909703","ALL","blood","leukemia","GDSC1","394"
"RT-112","SIDM00402","909704","BLCA","urogenital_system","bladder","GDSC1","345"
"RVH-421","SIDM00401","909706","SKCM","skin","melanoma","GDSC1","352"
"Saos-2","SIDM01084","909707","UNCLASSIFIED","bone","osteosarcoma","GDSC1","345"
"SAS","SIDM00351","909708","HNSC","aero_digestive_tract","head_and_neck","GDSC1","345"
"SCC-9","SIDM01080","909709","HNSC","aero_digestive_tract","head_and_neck","GDSC1","342"
"SCH","SIDM00383","909711","UNCLASSIFIED","digestive_system","stomach","GDSC1","378"
"SF126","SIDM00382","909712","GBM","nervous_system","glioma","GDSC1","391"
"SH-4","SIDM01079","909713","SKCM","skin","melanoma","GDSC1","394"
"SIG-M5","SIDM00396","909715","LAML","blood","acute_myeloid_leukaemia","GDSC1","215"
"SJRH30","SIDM01095","909716","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","GDSC1","349"
"SJSA-1","SIDM01112","909717","UNCLASSIFIED","bone","bone_other","GDSC1","393"
"SK-CO-1","SIDM01096","909718","COREAD","digestive_system","large_intestine","GDSC1","174"
"SK-HEP-1","SIDM01110","909719","LIHC","digestive_system","liver","GDSC1","342"
"SK-LMS-1","SIDM01109","909720","UNCLASSIFIED","soft_tissue","soft_tissue_other","GDSC1","393"
"SK-LU-1","SIDM01108","909721","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","354"
"SKM-1","SIDM00380","909722","UNCLASSIFIED","blood","haematopoietic_neoplasm_other","GDSC1","269"
"SK-MEL-1","SIDM01107","909723","SKCM","skin","melanoma","GDSC1","395"
"SK-MEL-3","SIDM01105","909724","SKCM","skin","melanoma","GDSC1","349"
"SK-MEL-24","SIDM01106","909725","SKCM","skin","melanoma","GDSC1","340"
"SK-MEL-30","SIDM00392","909726","SKCM","skin","melanoma","GDSC1","341"
"SK-MEL-31","SIDM01104","909727","SKCM","skin","melanoma","GDSC1","169"
"SK-MES-1","SIDM01103","909728","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","GDSC1","353"
"SK-MG-1","SIDM00379","909729","GBM","nervous_system","glioma","GDSC1","346"
"SK-PN-DW","SIDM01097","909731","UNCLASSIFIED","bone","ewings_sarcoma","GDSC1","381"
"SK-UT-1","SIDM01113","909732","UNCLASSIFIED","soft_tissue","soft_tissue_other","GDSC1","375"
"SNG-M","SIDM00373","909735","UCEC","urogenital_system","endometrium","GDSC1","344"
"SNU-387","SIDM01180","909736","LIHC","digestive_system","liver","GDSC1","342"
"SNU-423","SIDM01199","909737","LIHC","digestive_system","liver","GDSC1","342"
"SNU-449","SIDM01194","909738","LIHC","digestive_system","liver","GDSC1","347"
"SNU-475","SIDM01196","909739","LIHC","digestive_system","liver","GDSC1","177"
"SNU-C2B","SIDM00781","909740","COREAD","digestive_system","large_intestine","GDSC1","373"
"SU-DHL-1","SIDM00390","909742","UNCLASSIFIED","blood","anaplastic_large_cell_lymphoma","GDSC1","209"
"SUP-T1","SIDM01154","909743","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","387"
"SW13","SIDM00814","909744","ACC","kidney","adrenal_gland","GDSC1","340"
"SW1088","SIDM01155","909745","GBM","nervous_system","glioma","GDSC1","347"
"SW1116","SIDM00835","909746","COREAD","digestive_system","large_intestine","GDSC1","304"
"SW1417","SIDM00812","909747","COREAD","digestive_system","large_intestine","GDSC1","347"
"SW1463","SIDM00834","909748","COREAD","digestive_system","large_intestine","GDSC1","345"
"SW1710","SIDM00420","909749","BLCA","urogenital_system","bladder","GDSC1","354"
"SW1783","SIDM01164","909750","LGG","nervous_system","glioma","GDSC1","341"
"SW48","SIDM00837","909751","COREAD","digestive_system","large_intestine","GDSC1","341"
"SW626","SIDM01168","909753","OV","urogenital_system","ovary","GDSC1","348"
"SW684","SIDM01175","909754","UNCLASSIFIED","soft_tissue","fibrosarcoma","GDSC1","393"
"SW837","SIDM00833","909755","COREAD","digestive_system","large_intestine","GDSC1","342"
"SW872","SIDM01159","909756","UNCLASSIFIED","soft_tissue","soft_tissue_other","GDSC1","395"
"SW948","SIDM00832","909757","COREAD","digestive_system","large_intestine","GDSC1","348"
"SW962","SIDM01178","909758","UNCLASSIFIED","urogenital_system","urogenital_system_other","GDSC1","388"
"SW982","SIDM01161","909759","UNCLASSIFIED","soft_tissue","soft_tissue_other","GDSC1","375"
"T84","SIDM00782","909761","COREAD","digestive_system","large_intestine","GDSC1","350"
"TGBC1TKB","SIDM00252","909769","UNCLASSIFIED","digestive_system","biliary_tract","GDSC1","392"
"TGBC11TKB","SIDM00251","909770","STAD","digestive_system","stomach","GDSC1","346"
"THP-1","SIDM01172","909771","LAML","blood","acute_myeloid_leukaemia","GDSC1","387"
"TUR","SIDM01205","909773","DLBC","blood","B_cell_lymphoma","GDSC1","391"
"TYK-nu","SIDM00321","909774","UNCLASSIFIED","urogenital_system","ovary","GDSC1","349"
"U-2-OS","SIDM01191","909776","UNCLASSIFIED","bone","osteosarcoma","GDSC1","341"
"U-698-M","SIDM00424","909777","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","387"
"UACC-893","SIDM01186","909778","BRCA","breast","breast","GDSC1","342"
"UMC-11","SIDM01183","909779","UNCLASSIFIED","lung","lung_NSCLC_carcinoid","GDSC1","344"
"VMRC-RCZ","SIDM00317","909781","KIRC","kidney","kidney","GDSC1","347"
"WM-115","SIDM01000","909784","SKCM","skin","melanoma","GDSC1","348"
"WSU-NHL","SIDM00412","909785","UNCLASSIFIED","blood","lymphoid_neoplasm_other","GDSC1","383"
"YAPC","SIDM00411","909904","PAAD","pancreas","pancreas","GDSC1","346"
"YH-13","SIDM00316","909905","GBM","nervous_system","glioma","GDSC1","352"
"ZR-75-30","SIDM00971","909907","BRCA","breast","breast","GDSC1","341"
"RCC10RGB","SIDM00235","909974","KIRC","kidney","kidney","GDSC1","361"
"KURAMOCHI","SIDM00554","909975","UNCLASSIFIED","urogenital_system","ovary","GDSC1","394"
"KM-H2","SIDM01018","909976","UNCLASSIFIED","blood","Hodgkin_lymphoma","GDSC1","388"
"HuO-3N1","SIDM00584","909977","UNCLASSIFIED","bone","osteosarcoma","GDSC1","346"
"OE19","SIDM00479","910079","ESCA","aero_digestive_tract","oesophagus","GDSC1","346"
"SUP-B8","SIDM01177","910209","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","166"
"NCI-H838","SIDM01150","910399","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","343"
"Ramos-2G6-4C10","SIDM01247","910401","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","387"
"RPMI-8866","SIDM00482","910544","LCML","blood","chronic_myeloid_leukaemia","GDSC1","375"
"QIMR-WIL","SIDM00467","910545","LAML","blood","acute_myeloid_leukaemia","GDSC1","386"
"PSN1","SIDM00469","910546","PAAD","pancreas","pancreas","GDSC1","385"
"OAW-42","SIDM00480","910548","OV","urogenital_system","ovary","GDSC1","344"
"OE33","SIDM00477","910549","ESCA","aero_digestive_tract","oesophagus","GDSC1","346"
"CW-2","SIDM00282","910554","COREAD","digestive_system","large_intestine","GDSC1","388"
"CMK","SIDM00959","910566","LAML","blood","acute_myeloid_leukaemia","GDSC1","168"
"CHP-126","SIDM00286","910567","NB","nervous_system","neuroblastoma","GDSC1","317"
"CGTH-W-1","SIDM01248","910568","THCA","thyroid","thyroid","GDSC1","354"
"COLO-320-HSR","SIDM00842","910569","COREAD","digestive_system","large_intestine","GDSC1","386"
"ATN-1","SIDM00233","910687","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","388"
"CESS","SIDM00917","910688","LAML","blood","acute_myeloid_leukaemia","GDSC1","381"
"COLO-678","SIDM00957","910689","COREAD","digestive_system","large_intestine","GDSC1","346"
"COLO-684","SIDM00142","910691","UCEC","urogenital_system","endometrium","GDSC1","398"
"COLO-668","SIDM00143","910692","SCLC","lung","lung_small_cell_carcinoma","GDSC1","394"
"LN-405","SIDM00343","910694","GBM","nervous_system","glioma","GDSC1","345"
"TGBC24TKB","SIDM00267","910695","UNCLASSIFIED","digestive_system","biliary_tract","GDSC1","371"
"A388","SIDM00794","910697","UNCLASSIFIED","skin","skin_other","GDSC1","395"
"BFTC-909","SIDM00988","910698","KIRC","kidney","kidney","GDSC1","344"
"C2BBe1","SIDM01233","910700","COREAD","digestive_system","large_intestine","GDSC1","360"
"SCC-25","SIDM01082","910701","HNSC","aero_digestive_tract","head_and_neck","GDSC1","347"
"AsPC-1","SIDM00899","910702","PAAD","pancreas","pancreas","GDSC1","323"
"CA46","SIDM00907","910703","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","385"
"AU565","SIDM00898","910704","BRCA","breast","breast","GDSC1","324"
"BALL-1","SIDM00287","910705","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","381"
"BL-41","SIDM00985","910706","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","390"
"BV-173","SIDM00962","910710","LCML","blood","chronic_myeloid_leukaemia","GDSC1","383"
"IA-LM","SIDM00306","910779","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","376"
"TGW","SIDM00324","910780","NB","nervous_system","neuroblastoma","GDSC1","400"
"AN3-CA","SIDM00901","910781","UCEC","urogenital_system","endometrium","GDSC1","344"
"A204","SIDM00798","910784","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","GDSC1","347"
"NY","SIDM00569","910849","UNCLASSIFIED","bone","osteosarcoma","GDSC1","350"
"C3A","SIDM01237","910850","LIHC","digestive_system","liver","GDSC1","345"
"A427","SIDM00810","910851","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","349"
"CAL-85-1","SIDM00928","910852","BRCA","breast","breast","GDSC1","346"
"CHL-1","SIDM01228","910853","SKCM","skin","melanoma","GDSC1","346"
"RL","SIDM01089","910861","DLBC","blood","B_cell_lymphoma","GDSC1","395"
"NCI-H146","SIDM00698","910899","SCLC","lung","lung_small_cell_carcinoma","GDSC1","221"
"NCI-H1651","SIDM00744","910900","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","354"
"RPMI-7951","SIDM01087","910903","SKCM","skin","melanoma","GDSC1","321"
"SCC-4","SIDM01081","910904","HNSC","aero_digestive_tract","head_and_neck","GDSC1","327"
"SNU-C1","SIDM01197","910905","COREAD","digestive_system","large_intestine","GDSC1","398"
"ST486","SIDM01198","910906","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","387"
"SW1990","SIDM01165","910907","PAAD","pancreas","pancreas","GDSC1","346"
"UACC-812","SIDM01187","910910","BRCA","breast","breast","GDSC1","200"
"SCC-15","SIDM01083","910911","HNSC","aero_digestive_tract","head_and_neck","GDSC1","390"
"CAPAN-2","SIDM00943","910915","PAAD","pancreas","pancreas","GDSC1","327"
"CAL-27","SIDM00937","910916","HNSC","aero_digestive_tract","head_and_neck","GDSC1","352"
"BC-3","SIDM00895","910918","DLBC","blood","B_cell_lymphoma","GDSC1","218"
"BC-1","SIDM00896","910919","DLBC","blood","B_cell_lymphoma","GDSC1","386"
"A704","SIDM00849","910920","KIRC","kidney","kidney","GDSC1","346"
"A101D","SIDM00801","910921","SKCM","skin","melanoma","GDSC1","388"
"769-P","SIDM00803","910922","KIRC","kidney","kidney","GDSC1","340"
"23132-87","SIDM00980","910924","STAD","digestive_system","stomach","GDSC1","344"
"A431","SIDM00995","910925","UNCLASSIFIED","skin","skin_other","GDSC1","346"
"BFTC-905","SIDM00989","910926","BLCA","urogenital_system","bladder","GDSC1","326"
"CAL-51","SIDM00933","910927","BRCA","breast","breast","GDSC1","345"
"SCC-3","SIDM00384","910930","DLBC","blood","B_cell_lymphoma","GDSC1","216"
"RERF-LC-MS","SIDM00355","910931","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","351"
"GAK","SIDM00543","910932","SKCM","skin","melanoma","GDSC1","387"
"AM-38","SIDM00492","910933","GBM","nervous_system","glioma","GDSC1","386"
"A4-Fuk","SIDM00502","910934","DLBC","blood","B_cell_lymphoma","GDSC1","362"
"A3-KAW","SIDM00495","910935","DLBC","blood","B_cell_lymphoma","GDSC1","387"
"DOK","SIDM00540","910936","HNSC","aero_digestive_tract","head_and_neck","GDSC1","337"
"COR-L279","SIDM00511","910937","SCLC","lung","lung_small_cell_carcinoma","GDSC1","168"
"CHP-134","SIDM00285","910941","NB","nervous_system","neuroblastoma","GDSC1","158"
"NEC8","SIDM00243","910942","UNCLASSIFIED","urogenital_system","testis","GDSC1","364"
"CAS-1","SIDM00212","910943","GBM","nervous_system","glioma","GDSC1","393"
"ALL-PO","SIDM00211","910944","ALL","blood","lymphoblastic_leukemia","GDSC1","394"
"OCI-AML2","SIDM00446","910947","LAML","blood","acute_myeloid_leukaemia","GDSC1","379"
"MFM-223","SIDM00332","910948","BRCA","breast","breast","GDSC1","401"
"CML-T1","SIDM00958","910951","LCML","blood","chronic_myeloid_leukaemia","GDSC1","184"
"CAL-54","SIDM00932","910952","KIRC","kidney","kidney","GDSC1","347"
"EFO-21","SIDM01052","911905","OV","urogenital_system","ovary","GDSC1","347"
