drug,cell_line,gCSI IC50
vinblastine,CaR-1,NaN
vorinostat,CaR-1,1.5
bid1870,Ca Ski,10
bortezomib,Ca Ski,0.02
crizotinib,Ca Ski,1
dasatinib,Ca Ski,NaN
docetaxel,Ca Ski,0.01
doxorubicin,Ca Ski,0.4
erlotinib,Ca Ski,10
gdc0941,Ca Ski,10
gemcitabine,Ca Ski,0.18
irinotecan,Ca Ski,2.08
lapatinib,Ca Ski,3.93
ms275,Ca Ski,0.1
paclitaxel,Ca Ski,0.02
pd0325901,Ca Ski,20
rapamycin,Ca Ski,0.1
thapsigargin,Ca Ski,0.02
vinblastine,Ca Ski,NaN
vorinostat,Ca Ski,2.28
bid1870,CCF-STTG1,10
bortezomib,CCF-STTG1,0.06
crizotinib,CCF-STTG1,1
dasatinib,CCF-STTG1,NaN
docetaxel,CCF-STTG1,0.05
doxorubicin,CCF-STTG1,7.87
erlotinib,CCF-STTG1,10
gdc0941,CCF-STTG1,10
gemcitabine,CCF-STTG1,1
irinotecan,CCF-STTG1,20
lapatinib,CCF-STTG1,20
ms275,CCF-STTG1,0.1
paclitaxel,CCF-STTG1,0.07
pd0325901,CCF-STTG1,20
rapamycin,CCF-STTG1,0.1
thapsigargin,CCF-STTG1,0.08
vinblastine,CCF-STTG1,NaN
vorinostat,CCF-STTG1,6.09
bid1870,CFPAC-1,10
bortezomib,CFPAC-1,0.02
crizotinib,CFPAC-1,1
dasatinib,CFPAC-1,0.1
docetaxel,CFPAC-1,0.05
doxorubicin,CFPAC-1,0.32
erlotinib,CFPAC-1,10
gdc0941,CFPAC-1,10
gemcitabine,CFPAC-1,0
irinotecan,CFPAC-1,1.01
lapatinib,CFPAC-1,12.24
ms275,CFPAC-1,0.1
paclitaxel,CFPAC-1,0.05
pd0325901,CFPAC-1,0.7
rapamycin,CFPAC-1,0.1
thapsigargin,CFPAC-1,0.07
vinblastine,CFPAC-1,0.1
vorinostat,CFPAC-1,1.61
bid1870,CGTH-W-1,10
bortezomib,CGTH-W-1,0.06
crizotinib,CGTH-W-1,1
dasatinib,CGTH-W-1,NaN
docetaxel,CGTH-W-1,0
doxorubicin,CGTH-W-1,0.11
erlotinib,CGTH-W-1,10
gdc0941,CGTH-W-1,10
gemcitabine,CGTH-W-1,0
irinotecan,CGTH-W-1,0.76
lapatinib,CGTH-W-1,7.67
ms275,CGTH-W-1,0.1
paclitaxel,CGTH-W-1,0.02
pd0325901,CGTH-W-1,0.59
rapamycin,CGTH-W-1,0.1
thapsigargin,CGTH-W-1,0.03
vinblastine,CGTH-W-1,NaN
vorinostat,CGTH-W-1,1.45
bid1870,ChaGo-K-1,10
bortezomib,ChaGo-K-1,0.12
crizotinib,ChaGo-K-1,1
dasatinib,ChaGo-K-1,0.1
docetaxel,ChaGo-K-1,0.07
doxorubicin,ChaGo-K-1,0.9
erlotinib,ChaGo-K-1,10
gdc0941,ChaGo-K-1,10
gemcitabine,ChaGo-K-1,1
irinotecan,ChaGo-K-1,20
lapatinib,ChaGo-K-1,20
ms275,ChaGo-K-1,0.1
paclitaxel,ChaGo-K-1,0.15
pd0325901,ChaGo-K-1,20
rapamycin,ChaGo-K-1,0.1
thapsigargin,ChaGo-K-1,0.08
vinblastine,ChaGo-K-1,0.01
vorinostat,ChaGo-K-1,5.14
bid1870,CHL-1,10
bortezomib,CHL-1,0.04
crizotinib,CHL-1,1
dasatinib,CHL-1,0.1
docetaxel,CHL-1,0
doxorubicin,CHL-1,0.23
erlotinib,CHL-1,1.41
gdc0941,CHL-1,10
gemcitabine,CHL-1,1
irinotecan,CHL-1,3.89
lapatinib,CHL-1,0.75
ms275,CHL-1,0.1
paclitaxel,CHL-1,0.01
pd0325901,CHL-1,1.46
rapamycin,CHL-1,0.03
thapsigargin,CHL-1,0.05
vinblastine,CHL-1,0.01
vorinostat,CHL-1,0.74
bid1870,CHP-212,10
bortezomib,CHP-212,0.02
crizotinib,CHP-212,0.46
dasatinib,CHP-212,NaN
docetaxel,CHP-212,0.01
doxorubicin,CHP-212,0.11
erlotinib,CHP-212,10
gdc0941,CHP-212,10
gemcitabine,CHP-212,0
irinotecan,CHP-212,0.79
lapatinib,CHP-212,5.32
ms275,CHP-212,0.1
paclitaxel,CHP-212,0.04
pd0325901,CHP-212,0
rapamycin,CHP-212,0.1
thapsigargin,CHP-212,0.02
vinblastine,CHP-212,NaN
vorinostat,CHP-212,0.23
bid1870,CI-1,NaN
bortezomib,CI-1,0.02
crizotinib,CI-1,1
dasatinib,CI-1,NaN
docetaxel,CI-1,0
doxorubicin,CI-1,0.12
erlotinib,CI-1,10
gdc0941,CI-1,10
gemcitabine,CI-1,0
irinotecan,CI-1,0.27
lapatinib,CI-1,15.25
ms275,CI-1,0.1
paclitaxel,CI-1,0.01
pd0325901,CI-1,20
rapamycin,CI-1,0
thapsigargin,CI-1,0.03
vinblastine,CI-1,NaN
vorinostat,CI-1,1.17
bid1870,COLO 201,10
bortezomib,COLO 201,0.03
crizotinib,COLO 201,1
dasatinib,COLO 201,NaN
docetaxel,COLO 201,0.01
doxorubicin,COLO 201,0.2
erlotinib,COLO 201,10
gdc0941,COLO 201,10
gemcitabine,COLO 201,0.06
irinotecan,COLO 201,3.47
lapatinib,COLO 201,20
ms275,COLO 201,0.1
paclitaxel,COLO 201,0.03
pd0325901,COLO 201,0
rapamycin,COLO 201,0.1
thapsigargin,COLO 201,0.02
vinblastine,COLO 201,NaN
vorinostat,COLO 201,0.72
bid1870,COLO 205,10
bortezomib,COLO 205,0.02
crizotinib,COLO 205,1
dasatinib,COLO 205,NaN
docetaxel,COLO 205,0.01
doxorubicin,COLO 205,0.15
erlotinib,COLO 205,10
gdc0941,COLO 205,10
gemcitabine,COLO 205,0.06
irinotecan,COLO 205,2.5
lapatinib,COLO 205,20
ms275,COLO 205,0.1
paclitaxel,COLO 205,0.04
pd0325901,COLO 205,0
rapamycin,COLO 205,0.1
thapsigargin,COLO 205,0.07
vinblastine,COLO 205,NaN
vorinostat,COLO 205,2.26
bid1870,COLO 320,10
bortezomib,COLO 320,0.17
crizotinib,COLO 320,1
dasatinib,COLO 320,NaN
docetaxel,COLO 320,0.19
doxorubicin,COLO 320,6.49
erlotinib,COLO 320,10
gdc0941,COLO 320,10
gemcitabine,COLO 320,0.02
irinotecan,COLO 320,20
lapatinib,COLO 320,14.4
ms275,COLO 320,0.1
paclitaxel,COLO 320,0.27
pd0325901,COLO 320,20
rapamycin,COLO 320,0.1
thapsigargin,COLO 320,0.18
vinblastine,COLO 320,NaN
vorinostat,COLO 320,0.54
bid1870,COLO 320HSR,10
bortezomib,COLO 320HSR,0.03
crizotinib,COLO 320HSR,1
dasatinib,COLO 320HSR,NaN
docetaxel,COLO 320HSR,0.05
doxorubicin,COLO 320HSR,0.95
erlotinib,COLO 320HSR,10
gdc0941,COLO 320HSR,10
gemcitabine,COLO 320HSR,0.02
irinotecan,COLO 320HSR,4.29
lapatinib,COLO 320HSR,20
ms275,COLO 320HSR,0.1
paclitaxel,COLO 320HSR,0.15
pd0325901,COLO 320HSR,20
rapamycin,COLO 320HSR,0.1
thapsigargin,COLO 320HSR,0.15
vinblastine,COLO 320HSR,NaN
vorinostat,COLO 320HSR,0.53
bid1870,COLO 678,10
bortezomib,COLO 678,0.13
crizotinib,COLO 678,1
dasatinib,COLO 678,0.1
docetaxel,COLO 678,0.3
doxorubicin,COLO 678,2.93
erlotinib,COLO 678,10
gdc0941,COLO 678,10
gemcitabine,COLO 678,1
irinotecan,COLO 678,20
lapatinib,COLO 678,20
ms275,COLO 678,0.1
paclitaxel,COLO 678,3
pd0325901,COLO 678,20
rapamycin,COLO 678,0.1
thapsigargin,COLO 678,1
vinblastine,COLO 678,0.1
vorinostat,COLO 678,6.03
bid1870,COLO 679,10
bortezomib,COLO 679,0.02
crizotinib,COLO 679,1
dasatinib,COLO 679,0.1
docetaxel,COLO 679,0.02
doxorubicin,COLO 679,0.27
erlotinib,COLO 679,10
gdc0941,COLO 679,10
gemcitabine,COLO 679,0
irinotecan,COLO 679,1.99
lapatinib,COLO 679,20
ms275,COLO 679,0.1
paclitaxel,COLO 679,0.04
pd0325901,COLO 679,0.01
rapamycin,COLO 679,0.1
thapsigargin,COLO 679,0.15
vinblastine,COLO 679,0.1
vorinostat,COLO 679,2.12
bid1870,COLO 680N,10
bortezomib,COLO 680N,0.07
crizotinib,COLO 680N,1
dasatinib,COLO 680N,NaN
docetaxel,COLO 680N,0.3
doxorubicin,COLO 680N,0.8
erlotinib,COLO 680N,10
gdc0941,COLO 680N,10
gemcitabine,COLO 680N,0.16
irinotecan,COLO 680N,5.09
lapatinib,COLO 680N,20
ms275,COLO 680N,0.1
paclitaxel,COLO 680N,0.14
pd0325901,COLO 680N,20
rapamycin,COLO 680N,0.1
thapsigargin,COLO 680N,0.09
vinblastine,COLO 680N,NaN
vorinostat,COLO 680N,3.26
bid1870,COLO 684,10
bortezomib,COLO 684,0.19
crizotinib,COLO 684,1
dasatinib,COLO 684,NaN
docetaxel,COLO 684,0.08
doxorubicin,COLO 684,1.09
erlotinib,COLO 684,10
gdc0941,COLO 684,10
gemcitabine,COLO 684,1
irinotecan,COLO 684,20
lapatinib,COLO 684,20
ms275,COLO 684,0.1
paclitaxel,COLO 684,0.09
pd0325901,COLO 684,20
rapamycin,COLO 684,0.1
thapsigargin,COLO 684,1
vinblastine,COLO 684,NaN
vorinostat,COLO 684,2.99
bid1870,COLO 741,10
bortezomib,COLO 741,0.02
crizotinib,COLO 741,1
dasatinib,COLO 741,NaN
docetaxel,COLO 741,0.01
doxorubicin,COLO 741,0.63
erlotinib,COLO 741,10
gdc0941,COLO 741,10
gemcitabine,COLO 741,0.02
irinotecan,COLO 741,4.72
lapatinib,COLO 741,10.84
ms275,COLO 741,0.1
paclitaxel,COLO 741,0.02
pd0325901,COLO 741,0.03
rapamycin,COLO 741,0.1
thapsigargin,COLO 741,0.08
vinblastine,COLO 741,NaN
vorinostat,COLO 741,2.7
bid1870,COLO 800,10
bortezomib,COLO 800,0.02
crizotinib,COLO 800,1
dasatinib,COLO 800,0.1
docetaxel,COLO 800,0.07
doxorubicin,COLO 800,0.25
erlotinib,COLO 800,10
gdc0941,COLO 800,10
gemcitabine,COLO 800,0.01
irinotecan,COLO 800,2.19
lapatinib,COLO 800,7.63
ms275,COLO 800,0.1
paclitaxel,COLO 800,0.09
pd0325901,COLO 800,0
rapamycin,COLO 800,0.1
thapsigargin,COLO 800,0.06
vinblastine,COLO 800,0.1
vorinostat,COLO 800,2.32
bid1870,COLO 829,10
bortezomib,COLO 829,0.03
crizotinib,COLO 829,1
dasatinib,COLO 829,NaN
docetaxel,COLO 829,0.04
doxorubicin,COLO 829,0.31
erlotinib,COLO 829,10
gdc0941,COLO 829,10
gemcitabine,COLO 829,0
irinotecan,COLO 829,2.62
lapatinib,COLO 829,10.99
ms275,COLO 829,0.1
paclitaxel,COLO 829,0.05
pd0325901,COLO 829,0
rapamycin,COLO 829,0.1
thapsigargin,COLO 829,0.11
vinblastine,COLO 829,NaN
vorinostat,COLO 829,0.92
bid1870,COR-L279,10
bortezomib,COR-L279,0.02
crizotinib,COR-L279,1
dasatinib,COR-L279,NaN
docetaxel,COR-L279,0
doxorubicin,COR-L279,0.27
erlotinib,COR-L279,10
gdc0941,COR-L279,10
gemcitabine,COR-L279,0.03
irinotecan,COR-L279,0.36
lapatinib,COR-L279,15.69
ms275,COR-L279,0.1
paclitaxel,COR-L279,0.01
pd0325901,COR-L279,20
rapamycin,COR-L279,0.1
thapsigargin,COR-L279,0.11
vinblastine,COR-L279,NaN
vorinostat,COR-L279,0.6
bid1870,COR-L88,10
bortezomib,COR-L88,0.72
crizotinib,COR-L88,1
dasatinib,COR-L88,NaN
docetaxel,COR-L88,0.3
doxorubicin,COR-L88,10.06
erlotinib,COR-L88,10
gdc0941,COR-L88,10
gemcitabine,COR-L88,1
irinotecan,COR-L88,20
lapatinib,COR-L88,20
ms275,COR-L88,0.1
paclitaxel,COR-L88,3
pd0325901,COR-L88,20
rapamycin,COR-L88,0.1
thapsigargin,COR-L88,1
vinblastine,COR-L88,NaN
vorinostat,COR-L88,1.45
bid1870,COV318,10
bortezomib,COV318,0.01
crizotinib,COV318,1
dasatinib,COV318,NaN
docetaxel,COV318,0.3
doxorubicin,COV318,2.46
erlotinib,COV318,10
gdc0941,COV318,10
gemcitabine,COV318,1
irinotecan,COV318,20
lapatinib,COV318,20
ms275,COV318,0.1
paclitaxel,COV318,3
pd0325901,COV318,20
rapamycin,COV318,0.1
thapsigargin,COV318,0.24
vinblastine,COV318,NaN
vorinostat,COV318,3.82
bid1870,COV504,10
bortezomib,COV504,0.06
crizotinib,COV504,1
dasatinib,COV504,NaN
docetaxel,COV504,0.3
doxorubicin,COV504,1.89
erlotinib,COV504,10
gdc0941,COV504,10
gemcitabine,COV504,1
irinotecan,COV504,4.31
lapatinib,COV504,20
ms275,COV504,0.1
paclitaxel,COV504,0.05
pd0325901,COV504,20
rapamycin,COV504,0.1
thapsigargin,COV504,0.1
vinblastine,COV504,NaN
vorinostat,COV504,6.86
bid1870,CW-2,10
bortezomib,CW-2,0.08
crizotinib,CW-2,1
dasatinib,CW-2,NaN
docetaxel,CW-2,0.3
doxorubicin,CW-2,3.58
erlotinib,CW-2,10
gdc0941,CW-2,10
gemcitabine,CW-2,0.44
irinotecan,CW-2,9.53
lapatinib,CW-2,3.7
ms275,CW-2,0.1
paclitaxel,CW-2,0.34
pd0325901,CW-2,20
rapamycin,CW-2,0.1
thapsigargin,CW-2,0.26
vinblastine,CW-2,NaN
vorinostat,CW-2,2.2
bid1870,Daudi,10
bortezomib,Daudi,0.03
crizotinib,Daudi,1
dasatinib,Daudi,0
docetaxel,Daudi,0.01
doxorubicin,Daudi,0.17
erlotinib,Daudi,0.43
gdc0941,Daudi,0.03
gemcitabine,Daudi,0.03
irinotecan,Daudi,0.45
lapatinib,Daudi,20
ms275,Daudi,0.1
paclitaxel,Daudi,0.02
pd0325901,Daudi,20
rapamycin,Daudi,0
thapsigargin,Daudi,0.02
vinblastine,Daudi,0
vorinostat,Daudi,0.42
bid1870,DB,10
bortezomib,DB,0.05
crizotinib,DB,1
dasatinib,DB,0.1
docetaxel,DB,0
doxorubicin,DB,0.13
erlotinib,DB,10
gdc0941,DB,10
gemcitabine,DB,0
irinotecan,DB,0.45
lapatinib,DB,20
ms275,DB,0.1
paclitaxel,DB,0.01
pd0325901,DB,20
rapamycin,DB,0
thapsigargin,DB,0.02
vinblastine,DB,0
vorinostat,DB,1
bid1870,DEL,NaN
bortezomib,DEL,NaN
crizotinib,DEL,0.13
dasatinib,DEL,NaN
docetaxel,DEL,NaN
doxorubicin,DEL,NaN
erlotinib,DEL,10
gdc0941,DEL,NaN
gemcitabine,DEL,NaN
irinotecan,DEL,NaN
lapatinib,DEL,20
ms275,DEL,NaN
paclitaxel,DEL,0.04
pd0325901,DEL,20
rapamycin,DEL,NaN
thapsigargin,DEL,NaN
vinblastine,DEL,NaN
vorinostat,DEL,NaN
bid1870,Detroit 562,10
bortezomib,Detroit 562,0.03
crizotinib,Detroit 562,0.82
dasatinib,Detroit 562,0.03
docetaxel,Detroit 562,0
doxorubicin,Detroit 562,0.34
erlotinib,Detroit 562,2.92
gdc0941,Detroit 562,10
gemcitabine,Detroit 562,0.01
irinotecan,Detroit 562,2.14
lapatinib,Detroit 562,2.52
ms275,Detroit 562,0.1
paclitaxel,Detroit 562,0.01
pd0325901,Detroit 562,0.36
rapamycin,Detroit 562,0
thapsigargin,Detroit 562,0.02
vinblastine,Detroit 562,0.01
vorinostat,Detroit 562,0.88
bid1870,DMS 273,10
bortezomib,DMS 273,0.02
crizotinib,DMS 273,1
dasatinib,DMS 273,NaN
docetaxel,DMS 273,0
doxorubicin,DMS 273,0.35
erlotinib,DMS 273,10
gdc0941,DMS 273,10
gemcitabine,DMS 273,0.01
irinotecan,DMS 273,2.17
lapatinib,DMS 273,13
ms275,DMS 273,0.1
paclitaxel,DMS 273,0.01
pd0325901,DMS 273,20
rapamycin,DMS 273,0.1
thapsigargin,DMS 273,0.03
vinblastine,DMS 273,NaN
vorinostat,DMS 273,1.39
bid1870,DOHH-2,10
bortezomib,DOHH-2,0.04
crizotinib,DOHH-2,1
dasatinib,DOHH-2,0.02
docetaxel,DOHH-2,0.01
doxorubicin,DOHH-2,0.02
erlotinib,DOHH-2,10
gdc0941,DOHH-2,10
gemcitabine,DOHH-2,0
irinotecan,DOHH-2,0.14
lapatinib,DOHH-2,20
ms275,DOHH-2,0.1
paclitaxel,DOHH-2,0.02
pd0325901,DOHH-2,20
rapamycin,DOHH-2,0
thapsigargin,DOHH-2,0.02
vinblastine,DOHH-2,0
vorinostat,DOHH-2,0.56
bid1870,DU 145,10
bortezomib,DU 145,0.03
crizotinib,DU 145,1
dasatinib,DU 145,0.05
docetaxel,DU 145,0.01
doxorubicin,DU 145,0.26
erlotinib,DU 145,0.88
gdc0941,DU 145,7.36
gemcitabine,DU 145,0
irinotecan,DU 145,0.95
lapatinib,DU 145,3.51
ms275,DU 145,0.1
paclitaxel,DU 145,0.02
pd0325901,DU 145,0.3
rapamycin,DU 145,0.01
thapsigargin,DU 145,0.03
vinblastine,DU 145,0.01
vorinostat,DU 145,0.8
bid1870,DV-90,10
bortezomib,DV-90,0.05
crizotinib,DV-90,1
dasatinib,DV-90,0.1
docetaxel,DV-90,0.01
doxorubicin,DV-90,0.31
erlotinib,DV-90,10
gdc0941,DV-90,10
gemcitabine,DV-90,0.01
irinotecan,DV-90,0.42
lapatinib,DV-90,2.93
ms275,DV-90,0.1
paclitaxel,DV-90,0.02
pd0325901,DV-90,0.05
rapamycin,DV-90,0.1
thapsigargin,DV-90,0.04
vinblastine,DV-90,0.02
vorinostat,DV-90,1.72
bid1870,EB1,10
bortezomib,EB1,0.03
crizotinib,EB1,1
dasatinib,EB1,0
docetaxel,EB1,0
doxorubicin,EB1,0.09
erlotinib,EB1,10
gdc0941,EB1,10
gemcitabine,EB1,0
irinotecan,EB1,0.4
lapatinib,EB1,20
ms275,EB1,0.1
paclitaxel,EB1,0.01
pd0325901,EB1,20
rapamycin,EB1,0.01
thapsigargin,EB1,0.04
vinblastine,EB1,0.01
vorinostat,EB1,1.55
bid1870,EB2,10
bortezomib,EB2,0.02
crizotinib,EB2,1
dasatinib,EB2,NaN
docetaxel,EB2,0.02
doxorubicin,EB2,0.08
erlotinib,EB2,10
gdc0941,EB2,10
gemcitabine,EB2,0.02
irinotecan,EB2,0.36
lapatinib,EB2,20
ms275,EB2,0.1
paclitaxel,EB2,0.03
pd0325901,EB2,20
rapamycin,EB2,0.02
thapsigargin,EB2,0.09
vinblastine,EB2,NaN
vorinostat,EB2,1.89
bid1870,EB-3,10
bortezomib,EB-3,0.12
crizotinib,EB-3,1
dasatinib,EB-3,0.1
docetaxel,EB-3,0.02
doxorubicin,EB-3,0.28
erlotinib,EB-3,10
gdc0941,EB-3,10
gemcitabine,EB-3,1
irinotecan,EB-3,3.79
lapatinib,EB-3,20
ms275,EB-3,0.1
paclitaxel,EB-3,0.04
pd0325901,EB-3,20
rapamycin,EB-3,0.01
thapsigargin,EB-3,0.1
vinblastine,EB-3,0.01
vorinostat,EB-3,1.87
bid1870,EFE-184,10
bortezomib,EFE-184,0.03
crizotinib,EFE-184,1
dasatinib,EFE-184,0.04
docetaxel,EFE-184,0.11
doxorubicin,EFE-184,0.76
erlotinib,EFE-184,10
gdc0941,EFE-184,10
gemcitabine,EFE-184,0.57
irinotecan,EFE-184,7.03
lapatinib,EFE-184,6.02
ms275,EFE-184,0.1
paclitaxel,EFE-184,0.21
pd0325901,EFE-184,1.95
rapamycin,EFE-184,0.1
thapsigargin,EFE-184,0.32
vinblastine,EFE-184,0.07
vorinostat,EFE-184,1.86
bid1870,EFM-19,10
bortezomib,EFM-19,0.02
crizotinib,EFM-19,1
dasatinib,EFM-19,NaN
docetaxel,EFM-19,0.01
doxorubicin,EFM-19,2.08
erlotinib,EFM-19,10
gdc0941,EFM-19,0.2
gemcitabine,EFM-19,1
irinotecan,EFM-19,20
lapatinib,EFM-19,20
ms275,EFM-19,0.1
paclitaxel,EFM-19,0.02
pd0325901,EFM-19,20
rapamycin,EFM-19,0.1
thapsigargin,EFM-19,0.29
vinblastine,EFM-19,NaN
vorinostat,EFM-19,1.6
bid1870,EFO-27,10
bortezomib,EFO-27,0.04
crizotinib,EFO-27,1
dasatinib,EFO-27,NaN
docetaxel,EFO-27,0.01
doxorubicin,EFO-27,0.23
erlotinib,EFO-27,0.77
gdc0941,EFO-27,10
gemcitabine,EFO-27,1
irinotecan,EFO-27,8.07
lapatinib,EFO-27,2.17
ms275,EFO-27,0.1
paclitaxel,EFO-27,0.01
pd0325901,EFO-27,20
rapamycin,EFO-27,0.1
thapsigargin,EFO-27,0.09
vinblastine,EFO-27,NaN
vorinostat,EFO-27,0.7
bid1870,EKVX,NaN
bortezomib,EKVX,NaN
crizotinib,EKVX,1
dasatinib,EKVX,NaN
docetaxel,EKVX,NaN
doxorubicin,EKVX,NaN
erlotinib,EKVX,10
gdc0941,EKVX,NaN
gemcitabine,EKVX,NaN
irinotecan,EKVX,NaN
lapatinib,EKVX,20
ms275,EKVX,NaN
paclitaxel,EKVX,0.39
pd0325901,EKVX,20
rapamycin,EKVX,NaN
thapsigargin,EKVX,NaN
vinblastine,EKVX,NaN
vorinostat,EKVX,NaN
bid1870,EPLC-272H,10
bortezomib,EPLC-272H,0.01
crizotinib,EPLC-272H,1
dasatinib,EPLC-272H,NaN
docetaxel,EPLC-272H,0
doxorubicin,EPLC-272H,0.32
erlotinib,EPLC-272H,10
gdc0941,EPLC-272H,10
gemcitabine,EPLC-272H,0.01
irinotecan,EPLC-272H,1.64
lapatinib,EPLC-272H,6.1
ms275,EPLC-272H,0.1
paclitaxel,EPLC-272H,0.01
pd0325901,EPLC-272H,19.14
rapamycin,EPLC-272H,0.1
thapsigargin,EPLC-272H,0.05
vinblastine,EPLC-272H,NaN
vorinostat,EPLC-272H,1.84
bid1870,ES-2,10
bortezomib,ES-2,0.03
crizotinib,ES-2,1
dasatinib,ES-2,NaN
docetaxel,ES-2,0.01
doxorubicin,ES-2,0.29
erlotinib,ES-2,10
gdc0941,ES-2,10
gemcitabine,ES-2,0
irinotecan,ES-2,0.74
lapatinib,ES-2,13.35
ms275,ES-2,0.1
paclitaxel,ES-2,0.04
pd0325901,ES-2,0.07
rapamycin,ES-2,0.1
thapsigargin,ES-2,0.02
vinblastine,ES-2,NaN
vorinostat,ES-2,1.24
bid1870,EVSA-T,10
bortezomib,EVSA-T,0.05
crizotinib,EVSA-T,1
dasatinib,EVSA-T,0.06
docetaxel,EVSA-T,0
doxorubicin,EVSA-T,1.05
erlotinib,EVSA-T,10
gdc0941,EVSA-T,10
gemcitabine,EVSA-T,1
irinotecan,EVSA-T,20
lapatinib,EVSA-T,20
ms275,EVSA-T,0.1
paclitaxel,EVSA-T,0.01
pd0325901,EVSA-T,20
rapamycin,EVSA-T,0.1
thapsigargin,EVSA-T,0.06
vinblastine,EVSA-T,0.01
vorinostat,EVSA-T,1.23
bid1870,FaDu,10
bortezomib,FaDu,0.05
crizotinib,FaDu,1
dasatinib,FaDu,NaN
docetaxel,FaDu,0.01
doxorubicin,FaDu,0.26
erlotinib,FaDu,1.05
gdc0941,FaDu,10
gemcitabine,FaDu,0.01
irinotecan,FaDu,0.37
lapatinib,FaDu,1.52
ms275,FaDu,0.1
paclitaxel,FaDu,0.02
pd0325901,FaDu,20
rapamycin,FaDu,0.1
thapsigargin,FaDu,0.05
vinblastine,FaDu,NaN
vorinostat,FaDu,2.41
bid1870,FTC-133,10
bortezomib,FTC-133,0.07
crizotinib,FTC-133,1
dasatinib,FTC-133,NaN
docetaxel,FTC-133,0.01
doxorubicin,FTC-133,0.53
erlotinib,FTC-133,10
gdc0941,FTC-133,10
gemcitabine,FTC-133,0.01
irinotecan,FTC-133,1.03
lapatinib,FTC-133,13.13
ms275,FTC-133,0.1
paclitaxel,FTC-133,0.04
pd0325901,FTC-133,20
rapamycin,FTC-133,0.1
thapsigargin,FTC-133,0.13
vinblastine,FTC-133,NaN
vorinostat,FTC-133,1.79
bid1870,FU97,10
bortezomib,FU97,0.03
crizotinib,FU97,1
dasatinib,FU97,NaN
docetaxel,FU97,0.3
doxorubicin,FU97,0.63
erlotinib,FU97,10
gdc0941,FU97,10
gemcitabine,FU97,1
irinotecan,FU97,13.9
lapatinib,FU97,7.73
ms275,FU97,0.1
paclitaxel,FU97,3
pd0325901,FU97,20
rapamycin,FU97,0.1
thapsigargin,FU97,0.12
vinblastine,FU97,NaN
vorinostat,FU97,0.77
bid1870,G-361,10
bortezomib,G-361,0.01
crizotinib,G-361,1
dasatinib,G-361,0.1
docetaxel,G-361,0.01
doxorubicin,G-361,0.38
erlotinib,G-361,10
gdc0941,G-361,10
gemcitabine,G-361,0.02
irinotecan,G-361,3.88
lapatinib,G-361,3.33
ms275,G-361,0.1
paclitaxel,G-361,0.03
pd0325901,G-361,0
rapamycin,G-361,0.1
thapsigargin,G-361,0.09
vinblastine,G-361,0.02
vorinostat,G-361,0.6
bid1870,G-401,10
bortezomib,G-401,0.05
crizotinib,G-401,1
dasatinib,G-401,NaN
docetaxel,G-401,0.01
doxorubicin,G-401,0.1
erlotinib,G-401,10
gdc0941,G-401,10
gemcitabine,G-401,0.01
irinotecan,G-401,0.85
lapatinib,G-401,20
ms275,G-401,0.1
paclitaxel,G-401,0.02
pd0325901,G-401,0.61
rapamycin,G-401,0.1
thapsigargin,G-401,0.03
vinblastine,G-401,NaN
vorinostat,G-401,1.24
bid1870,G-402,10
bortezomib,G-402,0.02
crizotinib,G-402,0.96
dasatinib,G-402,NaN
docetaxel,G-402,0.01
doxorubicin,G-402,0.13
erlotinib,G-402,1.47
gdc0941,G-402,0.13
gemcitabine,G-402,0
irinotecan,G-402,0.84
lapatinib,G-402,3.96
ms275,G-402,0.1
paclitaxel,G-402,0.02
pd0325901,G-402,1.55
rapamycin,G-402,0.1
thapsigargin,G-402,0.06
vinblastine,G-402,NaN
vorinostat,G-402,2.43
bid1870,GB-1,10
bortezomib,GB-1,0.05
crizotinib,GB-1,1
dasatinib,GB-1,NaN
docetaxel,GB-1,0.13
doxorubicin,GB-1,7.22
erlotinib,GB-1,NaN
gdc0941,GB-1,10
gemcitabine,GB-1,0.04
irinotecan,GB-1,0.98
lapatinib,GB-1,10.28
ms275,GB-1,0.1
paclitaxel,GB-1,3
pd0325901,GB-1,1.1
rapamycin,GB-1,0.1
thapsigargin,GB-1,0.08
vinblastine,GB-1,NaN
vorinostat,GB-1,3.21
bid1870,GI-1,10
bortezomib,GI-1,0.03
crizotinib,GI-1,1
dasatinib,GI-1,NaN
docetaxel,GI-1,0
doxorubicin,GI-1,0.36
erlotinib,GI-1,10
gdc0941,GI-1,10
gemcitabine,GI-1,0.01
irinotecan,GI-1,2.12
lapatinib,GI-1,8.07
ms275,GI-1,0.1
paclitaxel,GI-1,0.01
pd0325901,GI-1,20
rapamycin,GI-1,0.1
thapsigargin,GI-1,0.03
vinblastine,GI-1,NaN
vorinostat,GI-1,0.55
bid1870,GP5d,10
bortezomib,GP5d,0.05
crizotinib,GP5d,1
dasatinib,GP5d,NaN
docetaxel,GP5d,0.02
doxorubicin,GP5d,0.77
erlotinib,GP5d,10
gdc0941,GP5d,10
gemcitabine,GP5d,1
irinotecan,GP5d,18.93
lapatinib,GP5d,20
ms275,GP5d,0.1
paclitaxel,GP5d,0.05
pd0325901,GP5d,20
rapamycin,GP5d,0.1
thapsigargin,GP5d,0.1
vinblastine,GP5d,NaN
vorinostat,GP5d,2.87
bid1870,GRANTA-519,10
